id,asset,businessProcess,threat,vulnerability,existingControls,likelihood,impact,inherentScore,inherentLevel,treatment,plannedControls,residualScore,residualLevel,owner,dueDate,evidence,reviewStatus
RSK-011,Sentinel analytics,Security operations,Detection gaps miss relevant attack paths,"Schema drift, disabled rule, missing connector",14-rule pack; fixture harness,4,4,16,High,Mitigate,Canary KQL and connector freshness review,6,Medium,Detection Lead,2026-10-15,artifacts/evidence/detection-test-results.json,OPEN
RSK-012,SOAR playbooks,Incident response,Automation causes unsafe containment,Broad permissions or unreviewed side effects,Disabled connector-free dry-run playbooks,3,5,15,High,Avoid,Keep dry-run; approve dedicated lab activation,3,Low,SOC Lead,2026-09-30,docs/sentinel/SOAR_SAFETY.md,OPEN
RSK-013,Order API,Order processing,Input abuse affects availability/integrity,Missing validation or rate limit,Pydantic validation; headers; rate limiter,3,4,12,High,Mitigate,Gateway throttling and telemetry in live lab,5,Low,Workload Owner,2026-10-31,apps/secure-workload/tests/test_api.py,OPEN
RSK-014,Container image,Cloud delivery,Vulnerable dependency is deployed,Unscanned or mutable base/dependency,Pinned app deps; CI scan design,3,5,15,High,Mitigate,Trivy/SBOM/signature gate,5,Low,DevSecOps Lead,2026-09-30,docs/testing/TEST_STRATEGY.md,OPEN
RSK-015,Application logs,Security operations,Sensitive data appears in telemetry,Over-logging inputs/identities,Synthetic-only logger; sanitizer,3,4,12,High,Mitigate,Structured allow-list logging and privacy tests,4,Low,DPO,2026-09-30,docs/evidence/SANITIZATION_STANDARD.md,OPEN
RSK-016,Backup catalogue,Business continuity,Backup cannot be restored,Restore tests absent or credentials unavailable,BIA; recovery runbook,3,5,15,High,Mitigate,Quarterly isolated restore test,7,Medium,Operations Lead,2026-11-30,docs/operations/BACKUP_AND_RECOVERY.md,OPEN
RSK-017,Order database,Order processing,Ransomware/corruption causes prolonged outage,Recovery isolation or RPO is insufficient,"IaC, backup design, incident plan",3,5,15,High,Mitigate,Immutable backup and recovery exercise,6,Medium,Data Owner,2026-11-30,docs/scenario/BUSINESS_IMPACT_ANALYSIS.md,OPEN
RSK-018,Supplier API,Supplier integration,Compromised supplier sends unauthorized changes,Partner authentication and transaction validation weak,Identity boundary; logging,4,4,16,High,Mitigate,"mTLS/API claims, anomaly detection, contract controls",7,Medium,Supplier Manager,2026-12-15,docs/security/SUPPLIER_ACCESS_POLICY.md,OPEN
RSK-019,Policy initiative,Cloud governance,Misconfiguration is deployed outside guardrails,Policy assignment missing or Audit-only,14-control baseline,3,4,12,High,Mitigate,Staged Deny after exceptions/remediation,5,Low,Cloud Governance,2026-10-31,docs/security/POLICY_BASELINE.md,OPEN
RSK-020,Azure subscription,Cost operations,Compromise or error creates uncontrolled spend,No quota/lifetime enforcement,EUR20 guard; expiry tags; max replicas,3,4,12,High,Mitigate,Budget alert and automated expiry cleanup,4,Low,FinOps Owner,2026-09-30,docs/cost/COST_GUARD.md,OPEN
RSK-021,Marketplace edge,Marketplace,Regional or platform failure stops service,Single-region lab differs from production reference,BIA; paired-region design,3,5,15,High,Mitigate,Production zone/region architecture and exercise,7,Medium,CIO,2026-12-31,docs/architecture/ARCHITECTURE.md,OPEN
RSK-022,Incident process,Incident response,Slow ownership delays containment,Unclear severity/decision rights,IR plan; communication matrix,3,5,15,High,Mitigate,Tabletop and on-call evidence,5,Low,CISO,2026-10-31,docs/incident-response/INCIDENT_RESPONSE_PLAN.md,OPEN
RSK-023,Regulatory reporting,Governance,Material incident is reported late or inaccurately,Applicability/severity decision is unclear,German source register; communication matrix,3,5,15,High,Mitigate,Counsel-reviewed decision tree and exercise,6,Medium,Legal/Compliance,2026-10-31,docs/compliance/NIS2_APPLICABILITY_ASSESSMENT_DE.md,OPEN
RSK-024,Public repository,Portfolio publication,Secret or tenant identifier is published,Raw evidence enters Git history or screenshot,Ignore rules; sanitizer; release scan,3,5,15,High,Avoid,Pre-push PII/history/bundle/screenshot gate,3,Low,Project Owner,2026-08-29,docs/evidence/SANITIZATION_STANDARD.md,OPEN
RSK-025,Control evidence,Audit readiness,"Evidence is stale, incomplete or not traceable",Manual collection and unclear provenance,"Manifest, hashes, capability matrix",4,4,16,High,Mitigate,Automated collector and quarterly control review,6,Medium,GRC Lead,2026-10-31,artifacts/evidence/evidence-manifest.json,OPEN
RSK-026,Customer support,Customer support,Support agent over-accesses account context,Role bundles or exports are excessive,RBAC/JML/data classification,3,4,12,High,Mitigate,Field-level access and sampling review,5,Low,Support Director,2026-11-30,docs/scenario/DATA_CLASSIFICATION.md,OPEN
RSK-027,Workload identity,Order processing,Managed identity receives broad control-plane access,Role assigned above project vault/resource group,Narrow role matrix; Terraform scope,3,5,15,High,Mitigate,Permission diff and access review,4,Low,Platform Owner,2026-10-15,infra/modules/security/main.tf,OPEN
